origin,destination,distance
100120900009,OX142RD,17.5
100120900035,OX136SR,56.74
100120900058,OX141AS,15.63
100120900228,OX145PP,5
100120900240,OX145PP,45.06
100120900274,OX135BE,24.03
100120900358,OX136LR,23.86
100120900430,OX136HJ,59.43
100120900598,OX141QA,52.97
100120900645,OX145PL,14.32
100120900655,OX145NU,59.48
100120900695,OX141NT,33.31
100120900745,OX136HE,34.84
100120900747,OX136HE,37.5
100120900784,OX144HN,24.36
100120900947,OX136DU,39.94
100120900967,OX142RG,28.85
100120901093,OX141XH,12.09
100120901120,OX141XJ,21.66
100120901270,OX143TW,6.41
100120901391,OX141HG,27.43
100120901488,OX143PT,18.25
100120901550,OX144HB,128.89
100120901561,OX144HA,22.48
100120901589,OX145JF,42.06
100120901608,OX142RS,36.73
100120901793,OX135JH,38.09
100120901798,OX135JH,47.06
100120901858,OX141DJ,28.65
100120901889,OX141DL,38.18
100120901970,OX142NP,39.06
100120902028,OX145PX,40.46
100120902033,OX145PT,25.01
100120902051,OX145PU,54.84
100120902066,OX142RE,0
100120902140,OX141DH,30.03
100120902220,OX141LZ,15.79
100120902226,OX141LZ,37.06
100120902250,OX141NA,75.99
100120902252,OX141NA,65.32
100120902286,OX141NA,73.46
100120902329,OX143YF,37.5
100120902400,OX135LQ,34.03
100120902469,OX136TE,22.57
100120902595,OX141LE,11.82
100120902617,OX141HF,3.85
100120902754,OX141YW,78.67
100120902767,OX143AB,59.93
100120902856,OX145PZ,73.03
100120903009,OX145JH,33.03
100120903030,OX145JJ,73.62
100120903101,OX145JW,57.02
100120903185,OX143RS,24.22
100120903333,OX141XT,5.35
100120903372,OX141XS,0.39
100120903375,OX141XT,39.32
100120903497,OX145HW,6.41
100120903550,OX145QR,32.03
100120903561,OX136EX,40.72
100120903691,OX136PR,49.11
100120903787,OX142RW,57.73
100120903788,OX143TE,66.75
100120903792,OX143TE,89.04
100120903861,OX136AH,38.48
100120903922,OX141YL,48.02
100120903933,OX141YL,37.01
100120903983,OX141SJ,0.61
100120904041,OX144BW,25.09
100120904065,OX144DZ,26.94
100120904077,OX136JU,90.82
100120904107,OX136LB,48.39
100120904226,OX142QF,8.06
100120904350,OX142AW,67.82
100120904361,OX142AW,59.16
100120904365,OX142AW,52.34
100120904387,OX144HU,50.06
100120904448,OX145RW,27.01
100120904493,OX141NY,20.32
100120904503,OX144JJ,31.77
100120904525,OX144LU,80.18
